Supplier,Retailer,Supplier Store ID,Retailer Store ID,Invoice,Store,Item,SKU,Description,UPC,UOM,Business Day,Line Items Selected,Units,Net,Allowance,Base,Total Retail,Retail Selling Class,Retail Unit Multiple,Retail Unit,Dollar Impact,Tracking ID,Sales Type Code,Warehouse ID,Other
T&L Nursery  Inc.,Haggen Food and Pharmacy,0015,15,58267648,15 HAGGEN - BURLINGTON,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,02/11/2013,,2,1.75,0.00,1.75,,RG,1,2.50,3.50,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0015,15,58267648,15 HAGGEN - BURLINGTON,78530,,Helleborus Cinnamon Snow  1GA,007-97106-62348-5,EA,02/11/2013,,2,7.69,0.00,7.69,,RG,1,11.99,15.38,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0015,15,58267648,15 HAGGEN - BURLINGTON,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,02/11/2013,,1,7.69,0.00,7.69,,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0015,15,58267648,15 HAGGEN - BURLINGTON,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,02/11/2013,,1,3.45,0.00,3.45,,RG,1,4.99,3.45,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0017,17,58267651,17 TOP FOODS - LAKE TAPPS,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,02/11/2013,,1,3.45,0.00,3.45,,RG,1,4.99,3.45,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0023,23,58267654,23 HAGGEN - ARLINGTON,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,02/11/2013,,1,1.75,0.00,1.75,,RG,1,2.50,1.75,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0023,23,58267654,23 HAGGEN - ARLINGTON,78545,,Helleborus Ivory Prince 1GA,007-97106-62333-1,EA,02/11/2013,,1,7.69,0.00,7.69,,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0029,29,58267671,29 TOP FOODS - OLYMPIA,5345,,Erica carnea Beoley Pink  1GA,007-97106-12300-8,EA,02/11/2013,,1,3.83,0.00,3.83,,RG,1,5.99,3.83,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0029,29,58267671,29 TOP FOODS - OLYMPIA,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,02/11/2013,,1,3.45,0.00,3.45,,RG,1,4.99,3.45,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0029,29,58267671,29 TOP FOODS - OLYMPIA,2194,,Primula Belarina Cream  1QT,007-97106-74661-0,EA,02/11/2013,,6,3.45,0.00,3.45,,RG,1,29.94,20.70,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0039,39,58267675,39 TOP FOODS - FEDERAL WAY,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,02/11/2013,,3,1.75,0.00,1.75,,RG,1,7.50,5.25,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0039,39,58267675,39 TOP FOODS - FEDERAL WAY,78530,,Helleborus Cinnamon Snow  1GA,007-97106-62348-5,EA,02/11/2013,,1,7.69,0.00,7.69,,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0045,45,58267676,45 TOP FOODS - EDMONDS,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,02/11/2013,,1,7.69,0.00,7.69,,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0053,53,58267677,53 HAGGEN - BARKLEY VILLAGE,5415,,Erica carnea Springwood Pink 1GA,007-97106-12150-9,EA,02/11/2013,,1,3.83,0.00,3.83,,RG,1,5.99,3.83,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0055,55,58267678,55 HAGGEN - STANWOOD,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,02/11/2013,,2,3.45,0.00,3.45,,RG,1,4.99,6.90,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,0057,57,58267680,57 TOP FOODS - SNOHOMISH,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,02/11/2013,,1,1.75,0.00,1.75,,RG,1,2.50,1.75,,,,
